Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1916,11,1.739,,1.203,-0.126,-0.126,-1.452,,,,2.655,,,3.560,9.790,-2.040,0
1916,12,1.892,,1.203,-0.148,-0.141,-1.486,,,,2.688,,,3.560,9.760,-2.254,0
1917,1,1.983,,1.169,-0.181,-0.181,-1.528,,,,2.697,,,3.520,9.790,-2.223,0
1917,2,1.892,,1.191,-0.160,-0.166,-1.522,,,,2.713,,,3.530,9.770,-2.223,0
1917,3,1.800,,1.218,-0.135,-0.141,-1.498,,,,2.716,,,3.590,9.820,-2.040,0
1917,4,1.648,,1.151,-0.148,-0.163,-1.476,,,,2.627,,,3.570,9.850,-2.071,0
1917,5,1.709,,1.306,-0.023,-0.023,-1.352,,,,2.658,,,3.590,9.760,-1.827,0
1917,6,1.800,,1.273,-0.065,-0.077,-1.425,,,,2.697,,,3.580,9.760,-1.888,0
1917,7,1.831,,1.273,-0.080,-0.090,-1.449,,,,2.722,,,3.660,9.750,-2.010,0
1917,8,1.831,,1.294,-0.084,-0.090,-1.470,,,,2.765,,,3.620,9.700,-2.071,0
1917,9,1.770,,1.218,-0.126,-0.157,-1.531,,,,2.749,,,3.600,9.930,-2.101,0
1917,10,1.953,,1.270,-0.062,-0.090,-1.449,,,,2.719,,,3.700,9.970,-2.071,0
1917,11,1.739,,1.218,-0.117,-0.117,-1.452,,,,2.670,,,3.600,9.820,-2.040,0
1917,12,2.074,,1.175,-0.145,-0.145,-1.467,,,,2.643,,,3.670,9.800,-2.010,0
1918,1,2.257,,1.264,-0.059,-0.077,-1.419,,,,2.682,,,3.640,9.900,-2.040,0
1918,2,1.922,,1.187,-0.141,-0.154,-1.495,,,,2.682,,,3.620,9.850,-2.071,0
1918,3,2.074,,1.209,-0.132,-0.145,-1.495,,,,2.704,,,3.570,9.760,-2.132,0
1918,4,2.257,,1.230,-0.114,-0.120,-1.470,,,,2.701,,,3.650,9.850,-2.010,0
1918,5,1.953,,1.197,-0.135,-0.151,-1.498,,,,2.694,,,3.730,9.750,-1.979,0
1918,6,1.800,,1.282,-0.080,-0.084,-1.446,,,,2.728,,,3.570,9.680,-1.918,0
1918,7,1.800,,1.276,-0.096,-0.096,-1.470,,,,2.746,,,3.580,9.740,-1.979,0
1918,8,1.678,,1.181,-0.129,-0.166,-1.513,,,,2.694,,,3.580,9.710,-2.040,0
1918,9,1.800,,1.270,-0.105,-0.135,-1.537,,,,2.807,,,3.510,9.770,-2.162,0
1918,10,1.861,,1.230,-0.126,-0.132,-1.492,,,,2.722,,,3.560,9.830,-2.101,0
1918,11,2.318,,1.239,-0.090,-0.099,-1.434,,,,2.673,,,3.640,9.660,-1.949,0
1918,12,1.770,,1.267,-0.074,-0.090,-1.449,,,,2.716,,,3.640,9.760,-2.010,0
1919,1,1.831,,1.169,-0.163,-0.157,-1.480,,,,2.646,,,3.590,9.760,-1.949,0
1919,2,1.831,,1.221,-0.099,-0.105,-1.431,,,,2.652,,,3.550,9.750,-1.888,0
1919,3,1.831,,1.203,-0.126,-0.135,-1.473,,,,2.676,,,3.570,9.780,-1.949,0
1919,4,2.166,,1.273,-0.084,-0.090,-1.449,,,,2.722,,,3.520,9.760,-2.101,0
1919,5,2.044,,1.303,-0.053,-0.065,-1.431,,,,2.734,,,3.570,9.680,-2.040,0
1919,6,2.013,,1.279,-0.077,-0.074,-1.431,,,,2.710,,,3.660,9.800,-2.040,0
1919,7,1.831,,1.309,-0.050,-0.056,-1.422,,,,2.731,,,3.610,9.750,-1.888,0
1919,8,1.709,,1.309,-0.053,-0.065,-1.440,,,,2.749,,,3.650,9.810,-1.827,0
